2025-12-30T06:24:38.899485506Z [inf]  100.64.0.5:32518 - "GET /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/kb HTTP/1.1" 200
2025-12-30T06:28:05.312683721Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - 🎧 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Audio receiver loop started
2025-12-30T06:28:05.312688840Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - 🔊 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Comfort noise loop started
2025-12-30T06:28:05.312694070Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - ✅ Created persistent TTS session for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:05.312698882Z [err]  2025-12-30 06:28:05,311 - server - INFO - ✅ ON-DEMAND: Persistent TTS session created successfully!
2025-12-30T06:28:05.312704923Z [err]  2025-12-30 06:28:05,311 - server - INFO - 🔍 Persistent TTS lookup: call_id=v3:grbDJkmu7q7-nCqb7..., session=FOUND
2025-12-30T06:28:05.312709543Z [err]  2025-12-30 06:28:05,311 - server - INFO - 🚀 Streaming sentence #1 via persistent WebSocket
2025-12-30T06:28:05.312714072Z [err]  2025-12-30 06:28:05,311 - server - INFO - 🎵 TTS task #1 started at +415ms
2025-12-30T06:28:05.312718829Z [err]  2025-12-30 06:28:05,311 - server - INFO - ⏱️ [TIMING] TTFT_TTS (First TTS Task Started): 1517ms
2025-12-30T06:28:05.312723608Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - 🔄 Rephrased script: Let me say that again - Kendrick?...
2025-12-30T06:28:05.312732864Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - ⏱️ SILENCE TIMER RESET (user gave meaningful response) for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:05.313715773Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - 🔊 Silence tracking reset for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g (user responded)
2025-12-30T06:28:05.313722958Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - ✅ User responded to regular message, resetting counter
2025-12-30T06:28:05.313727538Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - 💾 Storing node ID 2 in conversation history
2025-12-30T06:28:05.313732308Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - LLM response (1.42s): Let me say that again - Kendrick?
2025-12-30T06:28:05.313737048Z [err]  2025-12-30 06:28:05,311 - core_calling_service - INFO - Total latency: 1.42s
2025-12-30T06:28:05.313741000Z [err]  2025-12-30 06:28:05,311 - server - INFO - ✅ LLM finished in 1517ms, TTS tasks already running in background
2025-12-30T06:28:05.313744705Z [err]  2025-12-30 06:28:05,311 - server - INFO - 🎵 Streaming 1 TTS chunks as they complete...
2025-12-30T06:28:05.313748761Z [err]  2025-12-30 06:28:05,311 - server - INFO - 🚀 Persistent TTS: Audio already streaming in background!
2025-12-30T06:28:05.313757308Z [err]  2025-12-30 06:28:05,311 - server - INFO -    1 sentences queued and playing seamlessly
2025-12-30T06:28:05.313761674Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - 🎵 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Playback consumer started
2025-12-30T06:28:05.313765311Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - 🎧 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Audio Receiver Loop STARTED
2025-12-30T06:28:05.313769013Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - 💓 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Starting TTS keep-alive loop (every 15s)
2025-12-30T06:28:05.313772667Z [err]  2025-12-30 06:28:05,311 - persistent_tts_service - INFO - 🔊 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Starting comfort noise loop
2025-12-30T06:28:05.314887151Z [err]  2025-12-30 06:28:05,312 - persistent_tts_service - INFO - 🎤 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Streaming sentence #1: Let me say that again - Kendrick?...
2025-12-30T06:28:05.314894550Z [err]  2025-12-30 06:28:05,312 - persistent_tts_service - INFO - 🚀 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Sent sentence #1 (NON-BLOCKING) in 0ms
2025-12-30T06:28:05.314900140Z [err]  2025-12-30 06:28:05,312 - persistent_tts_service - INFO - 📊 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] DIAGNOSTIC: pending_sentences=1, audio_queue=0, is_first=True, is_last=False
2025-12-30T06:28:05.314907265Z [err]  2025-12-30 06:28:05,312 - persistent_tts_service - INFO - 🎧 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Receiver processing sentence #1: 'Let me say that again - Kendri...'
2025-12-30T06:28:05.314913513Z [err]  2025-12-30 06:28:05,312 - persistent_tts_service - INFO - 📊 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] DIAGNOSTIC: queue_latency=0ms, pending_sentences=0, audio_queue=0, interrupted=False
2025-12-30T06:28:05.314920311Z [err]  2025-12-30 06:28:05,312 - server - INFO - ✅ All 1 persistent TTS streams completed
2025-12-30T06:28:05.314926160Z [err]  2025-12-30 06:28:05,312 - server - INFO - ✅ Agent generation complete (persistent TTS) - response window closed
2025-12-30T06:28:05.314932204Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  FIRST AUDIO STARTED: 1518ms from user stop 🚀
2025-12-30T06:28:05.314937631Z [err]  2025-12-30 06:28:05,312 - core_calling_service - INFO - 🤖 Agent started speaking for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:05.314942823Z [err]  2025-12-30 06:28:05,312 - server - INFO - ✅ Agent generation complete - response window closed
2025-12-30T06:28:05.314949194Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  ═══════════════════════════════════════════════
2025-12-30T06:28:05.316150174Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] ==== E2E LATENCY SUMMARY ====
2025-12-30T06:28:05.316154553Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] AI_RESPONSE: 'Let me say that again - Kendrick?...'
2025-12-30T06:28:05.316156601Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] STT: 5ms (provider: soniox, model: stt-rt-v3)
2025-12-30T06:28:05.316161420Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] LLM_TOTAL: 1517ms (provider: grok, model: grok-4-1-fast-non-reasoning)
2025-12-30T06:28:05.316166959Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] TTS_TOTAL: 416ms (provider: elevenlabs, websocket: False)
2025-12-30T06:28:05.316171045Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] E2E_TOTAL: 1518ms (user stopped → play_audio_url called)
2025-12-30T06:28:05.316175015Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] ⚠️ NOTE: E2E_TOTAL does not include:
2025-12-30T06:28:05.316178986Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING]   - Telnyx processing time (~50-200ms)
2025-12-30T06:28:05.316184388Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING]   - Network latency to user's phone (~50-150ms)
2025-12-30T06:28:05.316188307Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING]   - Phone audio buffering (~50-200ms)
2025-12-30T06:28:05.316192202Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING]   - TOTAL MISSING: ~150-550ms typically
2025-12-30T06:28:05.316195922Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING]   - REAL USER LATENCY: 1818ms estimated
2025-12-30T06:28:05.316200211Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] RESPONSE_TEXT: 33 chars, 1 sentences
2025-12-30T06:28:05.316204551Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] USER_INPUT: 'Hello?...'
2025-12-30T06:28:05.316995909Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  [TIMING] ==========================
2025-12-30T06:28:05.317003678Z [err]  2025-12-30 06:28:05,312 - server - INFO - ⏱️  ═══════════════════════════════════════════════
2025-12-30T06:28:05.504707128Z [err]  2025-12-30 06:28:05,501 - server - INFO - 📝 Saved assistant transcript and latency to database (Node: Greeting, Dead Air: 1938ms)
2025-12-30T06:28:05.504713306Z [err]  2025-12-30 06:28:05,501 - server - INFO - 🔊 Agent finished generating, 0 playbacks active - waiting for webhooks to close window and start silence tracking
2025-12-30T06:28:05.504717761Z [err]  2025-12-30 06:28:05,502 - server - INFO - 🔍 END CALL CHECK: should_end_call=False, max_checkins=False, max_duration=False
2025-12-30T06:28:05.622124212Z [err]  2025-12-30 06:28:05,588 - persistent_tts_service - INFO - ⏱️ [TIMING] TTFA (Time To First Audio Playback): 276ms
2025-12-30T06:28:05.622129258Z [err]  2025-12-30 06:28:05,588 - persistent_tts_service - INFO - 📤 Sending 17074 bytes of audio (107 chunks, 2.1s duration) via WebSocket
2025-12-30T06:28:05.622134792Z [err]  2025-12-30 06:28:05,588 - persistent_tts_service - INFO - 🎙️ [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] AGENT IS NOW SPEAKING (is_speaking=True)
2025-12-30T06:28:05.622138926Z [err]  2025-12-30 06:28:05,588 - persistent_tts_service - INFO - ⏱️ EXTEND playback_expected_end_time: +2.1s (total: 2.1s from now)
2025-12-30T06:28:05.622142770Z [err]  2025-12-30 06:28:05,590 - persistent_tts_service - INFO - ✅ Sent 107 audio chunks via WebSocket
2025-12-30T06:28:05.963907280Z [err]  2025-12-30 06:28:05,956 - dead_air_monitor - INFO - 🔇 MONITOR: Skipping silence check - audio playing (1.8s left)
2025-12-30T06:28:07.591518936Z [err]  2025-12-30 06:28:07,588 - elevenlabs_ws_service - INFO - ⏱️  [TIMING] ElevenLabs audio stream complete (0.5s timeout reached) - End of Sentence
2025-12-30T06:28:07.591529053Z [err]  2025-12-30 06:28:07,590 - persistent_tts_service - INFO - ✅ [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] Receiver finished sentence #1: 1 chunks in 2277ms
2025-12-30T06:28:08.002635129Z [err]  2025-12-30 06:28:08,001 - dead_air_monitor - INFO - ⏱️ Playback expected end time passed (0.3s ago), marking agent as done speaking
2025-12-30T06:28:08.002649006Z [err]  2025-12-30 06:28:08,001 - core_calling_service - INFO - ⏱️ SILENCE TIMER STARTED at 1767076088.0013595 for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:08.002660288Z [err]  2025-12-30 06:28:08,001 - core_calling_service - INFO - 🤖 Agent stopped speaking for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:08.024985164Z [err]  2025-12-30 06:28:08,022 - persistent_tts_service - INFO - 🔇 [Call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g] FLOOR RELEASED (is_holding_floor=False)
2025-12-30T06:28:09.963888389Z [err]  2025-12-30 06:28:09,961 - server - INFO - 📤 Audio flowing: 561 packets sent to Soniox (5s update)
2025-12-30T06:28:10.027030929Z [err]  2025-12-30 06:28:10,024 - dead_air_monitor - INFO - 🔍 MONITOR: agent_speaking=False, user_speaking=False, silence=2.0s, checkin_count=0/2
2025-12-30T06:28:10.172589275Z [err]  2025-12-30 06:28:10,113 - server - INFO - 🎤 Soniox receiver alive - 12 messages received in last 10s
2025-12-30T06:28:10.533042379Z [err]  2025-12-30 06:28:10,531 - dead_air_monitor - INFO - 🔍 MONITOR: agent_speaking=False, user_speaking=False, silence=2.5s, checkin_count=0/2
2025-12-30T06:28:12.310556510Z [err]  2025-12-30 06:28:12,291 - server - INFO - 🔤 RAW TOKENS: [" H"?]
2025-12-30T06:28:12.310566457Z [err]  2025-12-30 06:28:12,292 - core_calling_service - INFO - ⏱️ SILENCE TIMER RESET (user started speaking) for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:12.310574167Z [err]  2025-12-30 06:28:12,292 - core_calling_service - INFO - 🔊 Silence timer reset for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g (user started speaking)
2025-12-30T06:28:12.310580668Z [err]  2025-12-30 06:28:12,292 - core_calling_service - INFO - 👤 User started speaking for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:12.310586720Z [err]  2025-12-30 06:28:12,292 - server - WARNING - Failed to update user_has_spoken in Redis: cannot access local variable 'redis_svc' where it is not associated with a value
2025-12-30T06:28:12.310592442Z [err]  2025-12-30 06:28:12,292 - server - INFO - 🔍 PARTIAL TRANSCRIPT: 'H' | Generating: False
2025-12-30T06:28:12.564183712Z [err]  2025-12-30 06:28:12,556 - server - INFO - 🔤 RAW TOKENS: [" H"?, "ello"?]
2025-12-30T06:28:12.564195687Z [err]  2025-12-30 06:28:12,556 - server - INFO - 🔍 PARTIAL TRANSCRIPT: 'Hello' | Generating: False
2025-12-30T06:28:12.622248572Z [err]  2025-12-30 06:28:12,621 - server - INFO - ⏱️ [06:28:12.621] 🎤 USER STOPPED SPEAKING - Beginning processing pipeline
2025-12-30T06:28:12.622254277Z [err]  2025-12-30 06:28:12,620 - server - INFO - 🔤 RAW TOKENS: [" H"✓, "ello"✓, "?"✓, "<end>"✓]
2025-12-30T06:28:12.622258872Z [err]  2025-12-30 06:28:12,620 - server - INFO - 🎯 Endpoint detected: <end> token received
2025-12-30T06:28:12.622263062Z [err]  2025-12-30 06:28:12,621 - server - INFO - ⏱️ User spoke at 1767076092.621311
2025-12-30T06:28:12.622264459Z [err]  2025-12-30 06:28:12,620 - server - INFO - 🧹 Cleaned transcript: ' H ello ?' -> 'Hello?'
2025-12-30T06:28:12.622269393Z [err]  2025-12-30 06:28:12,620 - server - INFO - 📥 FINAL TOKENS: 'Hello?' (3 tokens)
2025-12-30T06:28:12.622273355Z [err]  2025-12-30 06:28:12,620 - server - INFO - 🎤 Soniox final transcript: 'Hello?'
2025-12-30T06:28:12.622277740Z [err]  2025-12-30 06:28:12,621 - server - INFO - 🔍 FILTER CHECK: words=1, is_filler=False, is_garbled=False, tts_speaking=False, time_until_done=0.0s, generating=False, playbacks=0, is_active=False
2025-12-30T06:28:12.622282279Z [err]  2025-12-30 06:28:12,621 - server - INFO - 🚀 Spawned tracked background task for endpoint processing
2025-12-30T06:28:12.622286507Z [err]  2025-12-30 06:28:12,621 - server - INFO - ⏱️ [06:28:12.621] 📝 FINAL TRANSCRIPT RECEIVED: 'Hello?'
2025-12-30T06:28:12.622290577Z [err]  2025-12-30 06:28:12,621 - server - INFO - ⏱️ [06:28:12.621] STT endpoint detection latency: 21ms
2025-12-30T06:28:12.628404413Z [err]  2025-12-30 06:28:12,626 - redis_service - INFO - 📦 Stored call data in Redis: v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g (TTL: 3600s)
2025-12-30T06:28:12.628412363Z [err]  2025-12-30 06:28:12,627 - server - INFO - 👤 User has spoken - aiSpeaksAfterSilence timer cancelled if pending
2025-12-30T06:28:12.628419076Z [err]  2025-12-30 06:28:12,627 - server - INFO - ✅ Agent SILENT - User said 1 word(s): 'Hello?' - Processing...
2025-12-30T06:28:12.642088174Z [err]  2025-12-30 06:28:12,637 - server - INFO - 🎤 Endpoint detected by Soniox - processing transcript: Hello?
2025-12-30T06:28:12.642098256Z [err]  2025-12-30 06:28:12,637 - core_calling_service - INFO - 👤 User stopped speaking for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:12.642106398Z [err]  2025-12-30 06:28:12,640 - server - INFO - ✅ User starting new turn - resetting agent speaking flag
2025-12-30T06:28:12.642114142Z [err]  2025-12-30 06:28:12,640 - server - INFO - ⏱️ [TIMING] STT_START: User last audio packet received
2025-12-30T06:28:12.642121106Z [err]  2025-12-30 06:28:12,640 - server - INFO - ⏱️ [TIMING] STT_END: Endpoint detected at T+13ms
2025-12-30T06:28:12.642129521Z [err]  2025-12-30 06:28:12,640 - server - INFO - ⏱️ [TIMING] STT_LATENCY: 13ms (Soniox model: stt-rt-v3)
2025-12-30T06:28:12.642136808Z [err]  2025-12-30 06:28:12,640 - server - INFO - ⏱️  USER STOPPED SPEAKING at T=0ms
2025-12-30T06:28:12.642143968Z [err]  2025-12-30 06:28:12,640 - server - INFO - 🎙️ Agent generating response - interruption detection active
2025-12-30T06:28:12.642151187Z [err]  2025-12-30 06:28:12,640 - core_calling_service - INFO - 🤖 Agent started speaking for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:12.736448590Z [err]  2025-12-30 06:28:12,734 - server - INFO - 📝 Saved user transcript to database
2025-12-30T06:28:12.736456583Z [err]  2025-12-30 06:28:12,734 - core_calling_service - INFO - ⏱️ [06:28:12.734] 📥 process_user_input() ENTRY - text: 'Hello?...'
2025-12-30T06:28:12.744171948Z [err]  2025-12-30 06:28:12,740 - redis_service - INFO - 📥 Retrieved call data from Redis: v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:12.744179649Z [err]  2025-12-30 06:28:12,740 - core_calling_service - WARNING - 🚨 BARGE-IN DETECTED for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g: User spoke while Silence Greeting was triggering
2025-12-30T06:28:12.896622169Z [err]  2025-12-30 06:28:12,762 - telnyx_service - INFO - Telnyx service initialized with connection: 2777245537294877821
2025-12-30T06:28:12.896628636Z [err]  2025-12-30 06:28:12,762 - telnyx_service - INFO - 🛑 Stopping audio playback on call: v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:13.104510554Z [err]  2025-12-30 06:28:13,081 - httpx - INFO - HTTP Request: POST https://api.telnyx.com/v2/calls/v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g/actions/playback_stop "HTTP/1.1 200 OK"
2025-12-30T06:28:13.104515530Z [err]  2025-12-30 06:28:13,082 - telnyx_service - INFO - ✅ Successfully stopped audio playback
2025-12-30T06:28:13.104519513Z [err]  2025-12-30 06:28:13,083 - core_calling_service - INFO - ✅ BARGE-IN: Audio playback STOPPED
2025-12-30T06:28:13.104524203Z [err]  2025-12-30 06:28:13,083 - core_calling_service - INFO - ✅ BARGE-IN: Preserving silence greeting in history to maintain context
2025-12-30T06:28:13.104529063Z [err]  2025-12-30 06:28:13,088 - redis_service - INFO - 📥 Retrieved call data from Redis: v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g
2025-12-30T06:28:13.104534804Z [err]  2025-12-30 06:28:13,094 - redis_service - INFO - 📦 Stored call data in Redis: v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g (TTL: 3600s)
2025-12-30T06:28:13.104538905Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - ✅ BARGE-IN: Reset silence_greeting_triggered flag
2025-12-30T06:28:13.104542854Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - ⏱️ [06:28:13.094] ⏩ About to call _process_call_flow_streaming()
2025-12-30T06:28:13.104547089Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - ⏱️ [06:28:13.094] 🔀 Agent type: call_flow, calling flow processor...
2025-12-30T06:28:13.104551374Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - ⏱️ [06:28:13.094] 🔀 _process_call_flow_streaming() ENTRY
2025-12-30T06:28:13.104555534Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - Flow processing - History length: 6, Is first: False
2025-12-30T06:28:13.104559656Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - 🔍 Using explicitly set current_node_id: 2
2025-12-30T06:28:13.104563679Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - ⏱️ [06:28:13.094] 🔀 About to call _follow_transition() for: Hello?...
2025-12-30T06:28:13.104746773Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - Evaluating transitions from Greeting for message: Hello?
2025-12-30T06:28:13.104755009Z [err]  2025-12-30 06:28:13,094 - core_calling_service - INFO - 🔍 Checking 'Hello=Yes' override [DEPLOYMENT VERIFIED] for msg='hello' on node='Greeting'
2025-12-30T06:28:13.104762496Z [err]  2025-12-30 06:28:13,094 - core_calling_service - WARNING - ⚠️ Auto-transition after response target not found: None, falling back to normal evaluation
2025-12-30T06:28:13.104769518Z [err]  2025-12-30 06:28:13,102 - core_calling_service - INFO - ⏱️ [06:28:13.102] 🔀 TRANSITION EVALUATION START - Calling LLM for 2 options
2025-12-30T06:28:14.102185828Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - ⏱️ [06:28:14.092] ✅ Node selected, about to process content...
2025-12-30T06:28:14.102192123Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{now}} with Tuesday, December 30, 2025 at 1:28 AM EST in content
2025-12-30T06:28:14.102196808Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{customer_name}} with Kendrick in content
2025-12-30T06:28:14.102201666Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{callerName}} with  in content
2025-12-30T06:28:14.102215511Z [err]  2025-12-30 06:28:14,090 - httpx - INFO - HTTP Request: POST https://api.x.ai/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-30T06:28:14.102224757Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - ⏱️ [06:28:14.091] 🔀 TRANSITION EVALUATION COMPLETE - took 989ms
2025-12-30T06:28:14.102232758Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🤖 AI transition decision: '-1'
2025-12-30T06:28:14.102240002Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 📊 Available transitions: ['Confirms name (Yes|Speaking|This is he/she) OR Ask...', 'Wrong number (No John here|Wrong number|etc) - don...']
2025-12-30T06:28:14.102245826Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - Selected transition index: -1
2025-12-30T06:28:14.102250426Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - No specific condition matched, looking for default transition...
2025-12-30T06:28:14.102255193Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - ⚠️ No transition matched, but node has GOAL. Staying on current node to continue with goal-based guidance.
2025-12-30T06:28:14.102263496Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🎯 Goal: Say the customer's name...
2025-12-30T06:28:14.102269644Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - ⏱️ [TIMING] TRANSITION_EVAL: 997ms
2025-12-30T06:28:14.103001440Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{lead_id}} with None in content
2025-12-30T06:28:14.103008250Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{qc_tracking_enabled}} with False in content
2025-12-30T06:28:14.103010489Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 📚 skip_mandatory_precheck=true - skipping pre-response mandatory check, will check on transition
2025-12-30T06:28:14.103015117Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{track_keywords}} with  in content
2025-12-30T06:28:14.103020437Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{expected_commitment}} with not_specified in content
2025-12-30T06:28:14.103023134Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - ⏱️ [06:28:14.092] 📄 About to process content (mode=script, length=9)
2025-12-30T06:28:14.103026718Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{to_number}} with +17708336397 in content
2025-12-30T06:28:14.103033452Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{phone_number}} with +17708336397 in content
2025-12-30T06:28:14.103034045Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔄 Dynamic rephrase enabled - generating natural variation of script
2025-12-30T06:28:14.103038381Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - 🔧 Replaced {{email}} with None in content
2025-12-30T06:28:14.103044395Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - ✅ Using explicit SCRIPT mode (length: 9 chars) - will return text instantly
2025-12-30T06:28:14.103044953Z [err]  2025-12-30 06:28:14,092 - core_calling_service - ERROR - Error generating rephrased script: No module named 'api_key_service'
2025-12-30T06:28:14.103050126Z [err]  2025-12-30 06:28:14,092 - core_calling_service - INFO - Using flow node: Greeting (type: conversation, mode: script)
2025-12-30T06:28:14.103951840Z [err]  2025-12-30 06:28:14,093 - core_calling_service - INFO - 🔄 Rephrased script: Let me say that again - Kendrick?...
2025-12-30T06:28:14.103952357Z [err]  2025-12-30 06:28:14,092 - server - INFO - 📤 Sentence arrived from LLM: Let me say that again - Kendrick?...
2025-12-30T06:28:14.103958160Z [err]  2025-12-30 06:28:14,092 - server - INFO - ⏱️ [TIMING] TTFS (Time To First Sentence): 1452ms
2025-12-30T06:28:14.103963479Z [err]  2025-12-30 06:28:14,093 - core_calling_service - INFO - 🔊 Silence tracking reset for call v3:grbDJkmu7q7-nCqb7kJayHpiU6izB-AHqYkaaMD29PhGbUfYnw0m1g (user responded)
2025-12-30T06:28:14.103964005Z [err]  2025-12-30 06:28:14,093 - server - INFO - ⚡ Starting REAL-TIME TTS for first sentence
2025-12-30T06:28:14.103968855Z [err]  2025-12-30 06:28:14,093 - server - INFO - 🔍 Persistent TTS lookup: call_id=v3:grbDJkmu7q7-nCqb7..., session=FOUND
2025-12-30T06:28:14.103974357Z [err]  2025-12-30 06:28:14,093 - core_calling_service - INFO - ✅ User responded to regular message, resetting counter
2025-12-30T06:28:14.103974482Z [err]  2025-12-30 06:28:14,093 - server - INFO - 🚀 Streaming sentence #1 via persistent WebSocket
2025-12-30T06:28:14.103979618Z [err]  2025-12-30 06:28:14,093 - server - INFO - 🎵 TTS task #1 started at +0ms
